map,i,source,s,h,w,e
orz103d,0,7278,3.60138e+06,282456,9581,625363
orz103d,0,20539,4.48134e+06,276565,58809,627663
orz103d,0,4161,3.8562e+06,273459,37725,668437
orz103d,0,3829,3.60396e+06,272064,31584,605437
orz103d,0,15838,3.39537e+06,270643,17737,604283
orz103d,0,26081,3.68698e+06,314017,11761,587156
orz103d,0,30404,3.6363e+06,304815,12799,591632
orz103d,0,5754,3.4934e+06,270066,544,583028
orz103d,0,12831,3.61121e+06,266473,31122,586365
orz103d,0,94,3.27853e+06,263892,6208,632309
orz103d,0,37560,3.33101e+06,292518,29814,588607
orz103d,0,12909,3.42576e+06,267694,5967,593330
orz103d,0,13281,3.56174e+06,266547,71058,587077
orz103d,0,331,3.32282e+06,264286,4616,589072
orz103d,0,12488,3.46644e+06,316615,25085,594488
orz103d,0,24075,3.3974e+06,266469,6275,589886
orz103d,0,19387,3.23396e+06,366273,27203,610962
orz103d,0,2666,3.50514e+06,265319,48414,589716
orz103d,0,37443,3.30937e+06,272678,100682,588476
orz103d,0,19578,3.28811e+06,364213,48883,637216
orz103d,0,31322,4.22204e+06,312920,5556,750782
orz103d,0,24944,4.92246e+06,291409,6999,850901
orz103d,0,25543,4.74766e+06,287263,9003,629325
orz103d,0,31625,4.28853e+06,285792,8200,623486
orz103d,0,14610,4.16951e+06,292427,506,649374
orz103d,0,46,4.53503e+06,280756,19070,626648
orz103d,0,7593,4.85512e+06,284223,15144,636143
orz103d,0,30435,4.33663e+06,283799,9310,639418
orz103d,0,17827,4.38588e+06,279554,8824,629044
orz103d,0,10668,4.12487e+06,285571,732,625387
orz103d,0,25766,4.25558e+06,292771,487,628045
orz103d,0,26689,4.45905e+06,287788,93802,647962
orz103d,0,27496,4.49039e+06,286731,12831,640969
orz103d,0,26654,4.48181e+06,287720,17212,624265
orz103d,0,6852,4.61312e+06,298768,371,668884
orz103d,0,32116,3.97805e+06,283953,33130,623556
orz103d,0,39908,4.19823e+06,312122,11585,625550
orz103d,0,21850,3.88156e+06,286840,25298,658047
orz103d,0,37285,4.28956e+06,305692,2290,690669
orz103d,0,25768,4.06367e+06,286060,826,629860
orz103d,0,8250,4.09176e+06,290551,1685,629279
orz103d,0,16978,3.91169e+06,322900,63587,637114
orz103d,0,24609,3.74215e+06,281279,10208,627733
orz103d,0,36181,3.41501e+06,277636,74079,622555
orz103d,0,11177,3.74109e+06,283635,722,629449
orz103d,0,27895,3.79447e+06,288308,11172,634153
orz103d,0,13949,3.6998e+06,286839,114734,633772
orz103d,0,36331,3.49621e+06,281463,56056,621190
orz103d,0,36659,3.50579e+06,280699,1350,631265
orz103d,0,31797,3.93091e+06,289738,9969,636505
orz103d,0,9911,5.06167e+06,284121,38563,627420
orz103d,0,11995,3.75254e+06,283855,73985,625376
orz103d,0,24299,3.91916e+06,282422,61392,659252
orz103d,0,24926,4.18958e+06,303789,537,644443
orz103d,0,26113,5.03706e+06,291936,1550,644458
orz103d,0,12338,4.73242e+06,285857,40600,630548
orz103d,0,22647,4.23146e+06,280491,75824,625973
orz103d,0,15465,3.89112e+06,281409,4409,651588
orz103d,0,21130,4.05276e+06,286711,3065,621604
orz103d,0,32918,4.0004e+06,284817,390,632341
orz103d,0,8983,4.92568e+06,283001,12279,739097
orz103d,0,1342,5.15087e+06,296910,41818,675169
orz103d,0,794,4.33457e+06,296186,5064,749527
orz103d,0,853,4.03691e+06,279557,19188,639593
orz103d,0,18410,4.61126e+06,292398,30226,676487
orz103d,0,35163,4.80542e+06,286263,17931,631126
orz103d,0,31174,3.43589e+06,310738,18341,710439
orz103d,0,27573,3.58533e+06,280382,339,622077
orz103d,0,11971,3.58251e+06,283020,40820,621826
orz103d,0,14791,4.19038e+06,284693,20777,623108
orz103d,0,3394,4.34431e+06,288251,38590,634427
orz103d,0,25544,4.4636e+06,285766,9137,639242
orz103d,0,27500,4.46846e+06,287577,21005,731528
orz103d,0,27280,4.49545e+06,287504,871,635785
orz103d,0,599,4.09076e+06,289278,3292,645382
orz103d,0,36727,3.83528e+06,279024,84120,626674
orz103d,0,1759,4.10116e+06,272150,79099,607889
orz103d,0,36688,3.47365e+06,270358,83005,661476
orz103d,0,816,4.63874e+06,288751,3945,626186
orz103d,0,38470,3.98534e+06,281644,10299,622894
orz103d,0,12455,4.01861e+06,280135,31062,610405
orz103d,0,29596,4.19634e+06,287297,16642,627395
orz103d,0,12762,4.66228e+06,287216,22800,719512
orz103d,0,16928,5.08714e+06,282129,28466,622624
orz103d,0,11999,3.64695e+06,282944,69681,638510
orz103d,0,25498,3.76690e+06,289394,1295,632256
orz103d,0,18279,4.60069e+06,310572,216985,727023
orz103d,0,732,4.667e+06,281339,80542,824952
orz103d,0,39012,4.15145e+06,285342,20169,635524
orz103d,0,9851,4.32985e+06,282490,51120,626268
orz103d,0,7847,3.8765e+06,359969,45015,999646
orz103d,0,34452,4.7583e+06,290080,69200,631501
orz103d,0,16628,5.44997e+06,583835,31041,688800
orz103d,0,12283,4.6499e+06,285307,2661,639772
orz103d,0,13956,4.06161e+06,294963,285,590964
orz103d,0,31732,3.98978e+06,308686,7972,668525
orz103d,0,16738,4.24532e+06,313784,6610,677803
orz103d,0,8195,5.22997e+06,319563,169868,754431
orz103d,0,19985,4.98604e+06,292365,19261,623978
orz103d,0,5944,4.48555e+06,277346,34736,613235
orz103d,0,12440,3.79368e+06,283836,4575,612054
orz103d,0,14218,3.45724e+06,266173,792,587671
orz103d,0,3814,3.80004e+06,267702,375,590101
orz103d,0,38526,3.39267e+06,279287,4957,647623
orz103d,0,36997,3.74571e+06,265545,372,588252
